_RAJ2000,_DEJ2000,S1.4
124.9900417,4.4044167,292.0
125.0385833,3.6925278,183.0
125.2361667,4.9047778,462.8
125.2374583,-0.4607500,177.7
125.3689167,2.5148611,123.5
125.3730833,2.5300000,140.8
125.3966667,1.0423611,156.5
125.4017917,6.4670000,208.5
125.4168333,-3.3869167,564.7
125.4320417,5.3454722,146.8
125.5255417,2.2972500,203.6
125.6101667,5.3305278,343.1
125.6148333,5.9222778,896.0
125.6417917,5.9402222,532.9
125.6477083,5.9765833,529.9
125.7166667,2.4475556,128.0
125.7477500,6.8893333,231.0
125.7517500,-0.2022500,287.5
125.7595417,7.0235556,124.2
126.0020417,3.2972222,134.8
126.0474583,4.4838889,255.1
126.0609167,-3.3487222,167.2
126.0993750,6.4619444,270.4
126.3157917,0.8938333,142.0
126.3212083,-2.0785000,105.5
126.3558333,3.5103056,119.3
126.4142083,6.4161944,117.8
126.4598750,3.1568889,1400.1
126.5138333,-3.8299722,124.6
126.5625417,0.1924722,121.9
126.6601667,-3.4073333,221.9
126.6675417,5.3948056,113.3
126.7768333,-3.9749167,154.5
126.8745417,6.8748333,125.4
126.9069583,-3.0750556,134.2
126.9886250,7.3367222,113.1
126.9962083,0.5999444,197.3
126.9993750,1.2086944,604.5
127.0250833,6.2766667,122.1
127.0383750,6.4625833,202.8
127.0890000,-3.6588333,111.6
127.1688750,7.3491389,249.0
127.2309583,3.4789722,180.7
127.3607917,1.1184444,123.7
127.3893750,7.3808889,120.5
127.4158750,3.7031667,156.8
127.4365833,5.2797222,120.4
127.4407083,-1.6661389,182.7
127.5000417,6.5413611,169.0
127.5183750,1.9076389,131.7
127.5377500,1.4652778,156.8
127.6330417,5.3355278,160.4
127.6362500,-1.6882778,131.5
127.6592083,-2.7112500,512.5
127.6904583,-3.6792778,857.6
127.7092500,1.7606111,315.4
127.7340417,6.4035833,118.0
127.7960417,-1.6888333,102.8
127.8028750,-2.6185556,110.7
127.8086250,5.3201111,121.5
127.9537083,4.4940278,1240.9
127.9707500,1.4313889,123.3
128.0487500,2.4734167,151.3
128.1416667,4.4063889,112.5
128.1417083,-1.0339444,208.6
128.2434583,6.0677500,116.2
128.2896667,7.0503889,100.2
128.3290833,3.8426111,237.9
128.4585417,0.6807500,203.5
128.4688750,4.9742778,143.5
128.5177500,2.8499167,214.9
128.5307917,-0.9992500,132.0
128.5560000,1.1896944,113.0
128.6306667,-0.0419722,190.8
128.7227917,-4.2864444,141.0
128.8555833,-1.8403611,303.5
128.8857500,4.1137500,168.2
128.8917083,-1.8501667,305.6
128.9272917,-1.8598056,306.4
128.9285833,7.0330556,349.3
128.9385000,4.6476667,121.5
128.9548333,-0.9551111,164.4
128.9832917,-0.8137500,112.2
129.0056250,4.1100000,435.3
129.0269583,-4.4907222,123.7
